,MONO,EMONO,IGM
advent,1.019047619047619,1.0214285714285714,3.608695652173913
adventur,1.0213333333333334,1.024,4.428571428571429
advers,1.0147368421052632,1.0189473684210526,2.68
advertis,1.0347747747747749,1.0282432432432433,23.705882352941174
advic,1.016,1.0225,3.2857142857142856
advis,1.0222222222222221,0.0,6.0
advisori,0.0,0.0,26.5
advoc,1.0133333333333334,1.0183333333333333,2.3846153846153846
aesthet,1.0357142857142858,1.0289285714285714,19.75
affect,1.0155294117647058,1.0203823529411764,3.350148367952522
afford,1.0184615384615385,1.0223076923076924,3.958904109589041
aforement,1.0133333333333334,1.02,2.6363636363636362
africa,1.02,1.0283333333333333,4.857142857142858
african,1.0171428571428571,1.0257142857142858,3.4000000000000004
afterward,1.025,1.02625,4.75
age,1.0286315789473683,1.0262105263157895,9.680851063829788
agenc,1.01856,1.02112,3.8292682926829267
agenda,1.0066666666666666,1.015,1.4615384615384617
agent,1.02,1.023125,4.2727272727272725
aggreg,1.01,1.015,1.8571428571428572
aggress,1.0186666666666666,1.024,3.8
agil,1.0218181818181817,1.0245454545454546,4.2727272727272725
agre,1.024,1.025,5.695652173913044
agreement,1.0326153846153847,1.0286153846153847,16.9
agricultur,1.0188070175438597,1.022421052631579,4.140625
agro,1.0333333333333334,1.0275,9.571428571428571
agusan,1.0253846153846153,1.0248076923076923,7.75
