Capstone,Thesis,Case Study,Feasibility Study
26.0,5.0,0.0,0.0
5.0,1.0,1.0,0.0
0.0,0.0,1.0,0.0
5.0,2.0,4.0,3.0
36.0,22.0,23.0,7.0
9.0,4.0,6.0,2.0
0.0,0.0,1.0,0.0
12.0,5.0,90.0,14.0
0.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0
8.0,3.0,1.0,0.0
20.0,23.0,5.0,2.0
14.0,168.0,4.0,0.0
0.0,1.0,0.0,4.0
17.0,84.0,16.0,7.0
0.0,0.0,0.0,1.0
0.0,1.0,4.0,2.0
0.0,1.0,0.0,0.0
49.0,3.0,35.0,15.0
1.0,0.0,0.0,0.0
0.0,2.0,0.0,0.0
0.0,0.0,8.0,0.0
0.0,0.0,1.0,0.0
10.0,6.0,4.0,6.0
0.0,11.0,2.0,2.0
0.0,1.0,0.0,1.0
1.0,14.0,18.0,0.0
4.0,1.0,0.0,2.0
2.0,12.0,19.0,0.0
1.0,0.0,0.0,0.0
60.0,78.0,35.0,18.0
1.0,0.0,0.0,0.0
0.0,2.0,0.0,2.0
15.0,11.0,8.0,5.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,2.0,0.0,0.0
6.0,6.0,13.0,4.0
0.0,2.0,0.0,0.0
0.0,3.0,0.0,0.0
0.0,2.0,0.0,0.0
0.0,2.0,0.0,0.0
4.0,46.0,11.0,1.0
0.0,1.0,0.0,1.0
0.0,1.0,0.0,0.0
27.0,51.0,25.0,25.0
28.0,40.0,11.0,5.0
4.0,0.0,0.0,0.0
0.0,2.0,0.0,0.0
0.0,6.0,4.0,2.0
0.0,0.0,1.0,1.0
1.0,0.0,0.0,0.0
0.0,3.0,0.0,0.0
12.0,2.0,0.0,0.0
0.0,0.0,0.0,2.0
0.0,1.0,0.0,0.0
5.0,11.0,4.0,0.0
52.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0
3.0,3.0,10.0,0.0
26.0,7.0,20.0,13.0
0.0,0.0,0.0,1.0
6.0,9.0,0.0,0.0
0.0,3.0,2.0,0.0
0.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0
2.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0
15.0,21.0,38.0,11.0
0.0,3.0,2.0,0.0
0.0,0.0,1.0,0.0
39.0,38.0,13.0,10.0
7.0,14.0,13.0,4.0
1.0,4.0,2.0,0.0
4.0,0.0,0.0,2.0
0.0,5.0,0.0,0.0
6.0,2.0,65.0,5.0
0.0,2.0,1.0,0.0
0.0,0.0,0.0,1.0
6.0,2.0,1.0,0.0
3.0,1.0,0.0,0.0
9.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
3.0,0.0,0.0,0.0
0.0,13.0,0.0,1.0
1.0,1.0,0.0,0.0
2.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0
30.0,42.0,76.0,3.0
0.0,1.0,1.0,0.0
4.0,0.0,2.0,6.0
1.0,1.0,2.0,1.0
0.0,1.0,5.0,1.0
0.0,1.0,8.0,0.0
0.0,0.0,2.0,0.0
0.0,0.0,1.0,0.0
0.0,1.0,1.0,0.0
