,ca,t,cs,fs,
input,30,8,4,0,42
shelv,0,0,42,0,42
sold,0,0,40,2,42
stay,8,2,30,2,42
vehicular,42,0,0,0,42
carri,22,6,8,5,41
congest,27,14,0,0,41
defin,34,2,0,5,41
entertain,25,2,13,1,41
great,27,3,0,11,41
index,39,1,1,0,41
near,14,0,25,2,41
obtain,28,1,6,6,41
player,37,0,0,4,41
protect,34,4,2,1,41
protocol,37,0,4,0,41
recent,36,3,1,1,41
return,8,0,33,0,41
set,27,2,9,3,41
simpl,22,13,0,6,41
tank,39,0,2,0,41
bulb,0,0,40,0,40
corn,13,0,7,20,40
fifti,3,0,36,1,40
investor,25,0,14,1,40
merchandis,0,0,40,0,40
modern,35,2,1,2,40
modul,38,2,0,0,40
normal,30,0,7,3,40
orient,2,1,35,2,40
piec,19,1,20,0,40
quickli,34,1,5,0,40
rapid,32,2,6,0,40
smartphon,35,5,0,0,40
solid,38,1,1,0,40
special,28,4,5,3,40
word,18,8,6,8,40
convert,23,6,7,3,39
drive,34,1,4,0,39
faculti,6,33,0,0,39
feet,12,0,26,1,39
forecast,15,8,16,0,39
friend,9,0,25,5,39
guest,14,0,25,0,39
officerincharg,0,0,39,0,39
parent,33,1,5,0,39
scholarship,38,0,0,1,39
shown,8,3,20,8,39
snack,2,0,36,1,39
stolen,37,2,0,0,39
technic,28,1,0,10,39
unpaid,0,0,39,0,39
valid,20,1,18,0,39
verifi,17,0,22,0,39
vision,30,3,0,6,39
correspond,10,5,23,0,38
dri,18,0,4,16,38
identif,25,5,8,0,38
medicin,25,11,2,0,38
mine,30,4,4,0,38
miss,22,0,16,0,38
occupi,14,1,22,1,38
popular,24,3,3,8,38
reli,26,4,5,3,38
season,15,0,19,4,38
travi,0,0,38,0,38
volum,20,0,10,8,38
advantag,30,7,0,0,37
away,18,1,15,3,37
classifi,23,5,8,1,37
complex,28,6,3,0,37
doctor,31,4,2,0,37
might,30,2,3,2,37
mostli,18,0,17,2,37
notifi,29,0,8,0,37
rais,11,4,13,9,37
relationship,11,7,18,1,37
seen,18,0,16,3,37
babi,33,1,2,0,36
bureau,22,0,4,10,36
chair,0,0,35,1,36
clinic,32,2,2,0,36
combin,23,6,6,1,36
crop,26,0,5,5,36
encourag,21,2,7,6,36
enforc,31,0,5,0,36
flow,19,2,13,2,36
link,19,9,4,4,36
media,22,0,5,9,36
nearest,33,0,3,0,36
permit,22,4,7,3,36
safe,29,1,4,2,36
storag,17,3,15,1,36
waitress,0,0,36,0,36
walkin,2,0,34,0,36
afford,13,1,13,8,35
arriv,9,2,21,3,35
attract,13,2,17,3,35
calam,26,0,9,0,35
central,20,1,12,2,35
clerk,6,0,29,0,35
defect,0,1,34,0,35
element,27,8,0,0,35
enterpris,12,0,21,2,35
fit,6,7,22,0,35
forc,19,1,13,2,35
herbal,33,0,2,0,35
lastli,16,5,14,0,35
mention,22,3,9,1,35
offici,20,0,11,4,35
permiss,4,27,4,0,35
platform,27,6,0,2,35
properli,18,2,13,2,35
smart,33,1,1,0,35
submit,10,1,24,0,35
sure,20,2,12,1,35
worldwid,32,1,0,2,35
april,9,0,22,3,34
arduino,34,0,0,0,34
budget,25,0,9,0,34
compris,22,0,11,1,34
exam,29,5,0,0,34
farm,29,0,0,5,34
grace,0,0,33,1,34
impact,26,5,2,1,34
learner,34,0,0,0,34
lower,12,1,18,3,34
march,12,0,22,0,34
presid,11,0,20,3,34
profil,20,0,8,6,34
prototyp,27,7,0,0,34
radio,11,3,15,5,34
rain,28,0,6,0,34
shape,12,0,22,0,34
sustain,20,1,12,1,34
ton,7,0,0,27,34
topic,31,3,0,0,34
translat,13,20,0,1,34
weekli,0,0,33,1,34
whole,15,4,12,3,34
behavior,26,4,2,1,33
computer,22,1,10,0,33
court,7,0,26,0,33
disburs,0,0,33,0,33
electr,15,0,18,0,33
encount,24,0,7,2,33
exercis,23,8,2,0,33
februari,13,0,20,0,33
gain,20,0,9,4,33
lessen,17,1,15,0,33
marbcc,0,0,33,0,33
opportun,24,1,5,3,33
select,20,0,10,3,33
step,29,3,1,0,33
tri,13,2,15,3,33
wholesal,0,0,30,3,33
2003,25,2,1,4,32
adopt,24,2,2,4,32
advertis,5,1,19,7,32
alon,29,2,0,1,32
applianc,9,0,23,0,32
attach,12,0,19,1,32
captur,25,3,3,1,32
church,1,0,31,0,32
critic,30,2,0,0,32
decad,28,3,0,1,32
end,9,0,23,0,32
enjoy,19,1,7,5,32
late,13,2,17,0,32
magallan,2,0,30,0,32
night,10,1,21,0,32
option,12,1,14,5,32
passeng,30,0,2,0,32
pollut,30,2,0,0,32
probabl,25,4,2,1,32
promis,1,1,30,0,32
regul,30,2,0,0,32
rental,30,0,2,0,32
section,23,5,4,0,32
soil,31,0,1,0,32
suitabl,27,1,1,3,32
think,23,2,7,0,32
timet,14,18,0,0,32
took,6,0,26,0,32
transmiss,31,1,0,0,32
uniform,14,0,18,0,32
video,20,5,6,1,32
vital,27,3,2,0,32
written,4,5,21,2,32
alcohol,28,0,2,1,31
bargain,0,0,31,0,31
becam,17,2,9,3,31
chanc,15,1,14,1,31
competitor,5,0,19,7,31
cultur,24,0,0,7,31
deaf,29,2,0,0,31
furthermor,21,2,7,1,31
manner,25,2,4,0,31
meat,1,0,3,27,31
medium,26,2,0,3,31
neural,8,23,0,0,31
penalti,1,0,30,0,31
plate,13,10,8,0,31
revenu,24,0,4,3,31
speech,24,7,0,0,31
stage,13,0,14,4,31
takeout,0,0,31,0,31
tesda,25,0,0,6,31
whenev,20,0,11,0,31
2006,17,3,7,3,30
2007,14,1,14,1,30
across,27,2,1,0,30
approxim,10,1,17,2,30
asset,3,1,26,0,30
blind,30,0,0,0,30
bring,14,2,12,2,30
classroom,28,0,2,0,30
counter,5,2,22,1,30
deduct,5,0,25,0,30
desir,15,4,7,4,30
drink,8,0,22,0,30
eleven,0,0,30,0,30
entir,21,1,3,5,30
feel,9,4,16,1,30
fight,6,0,24,0,30
full,10,2,18,0,30
fulli,13,4,10,3,30
hire,8,0,11,11,30
labor,18,0,10,2,30
later,21,4,3,2,30
length,2,0,28,0,30
mainli,25,3,0,2,30
manufactur,16,0,12,2,30
odor,17,0,13,0,30
outbreak,28,2,0,0,30
paramet,29,1,0,0,30
profession,19,6,2,3,30
progress,25,3,0,2,30
realli,16,8,5,1,30
reduct,29,0,0,1,30
replac,11,2,16,1,30
rout,21,1,2,6,30
